Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
25955,The Medium is the Massage,Marshall McLuhan,"McLuhan, Marshall","Quentin Fiore, Shepard Fairey","=""1584230703""","=""9781584230700""",0,3.97,Gingko Press,Paperback,160,2001,1967,,2025/05/04,to-read,to-read (#63),to-read,,,,0,0
25942786,The Mind Illuminated: A Complete Meditation Guide Integrating Buddhist Wisdom and Brain Science,Culadasa (John Charles Yates),"Yates), Culadasa (John Charles","John Charles Yates, Matthew Immergut, Jeremy Graves","=""0990847705""","=""9780990847700""",0,4.26,Dharma Treasure Press,Paperback,504,2015,2015,,2025/05/03,to-read,to-read (#62),to-read,,,,0,0
63946826,"Time's Echo: The Second World War, the Holocaust, and the Music of Remembrance",Jeremy Eichler,"Eichler, Jeremy",,"=""0525521712""","=""9780525521716""",0,4.52,Knopf,Hardcover,400,2023,2023,,2025/05/03,to-read,to-read (#61),to-read,,,,0,0
38154,Orlando Furioso,Ludovico Ariosto,"Ariosto, Ludovico","William Rose, Guido Waldman","=""0192836773""","=""9780192836779""",0,4.04,Oxford University Press,Paperback,630,1999,1516,,2025/05/03,to-read,to-read (#60),to-read,,,,0,0
214986234,The Expert of Subtle Revisions,Kirsten Menger-Anderson,"Menger-Anderson, Kirsten",,"=""0593798309""","=""9780593798300""",0,3.97,Crown,Hardcover,256,2025,2025,,2025/04/30,to-read,to-read (#59),to-read,,,,0,0
10663151,Acting: Onstage and Off,Robert Barton,"Barton, Robert",,"=""0495898864""","=""9780495898863""",0,3.57,Wadsworth Publishing,Paperback,416,2011,1989,,2025/04/28,"to-read, owned-unread","to-read (#58), owned-unread (#10)",to-read,,,,0,0
23168277,"The Sympathizer (The Sympathizer, #1)",Viet Thanh Nguyen,"Nguyen, Viet Thanh",,"=""0802123457""","=""9780802123459""",0,4.01,Grove Press,Hardcover,371,2015,2015,,2025/04/19,to-read,to-read (#57),to-read,,,,0,0
298275,Nausea,Jean-Paul Sartre,"Sartre, Jean-Paul","Lloyd Alexander, Hayden Carruth","=""0811201880""","=""9780811201889""",0,3.94,New Directions,Hardcover,178,1969,1938,,2025/04/16,to-read,to-read (#56),to-read,,,,0,0
31562164,Fargo,Bavitz,"Bavitz, Bavitz",,"=""""","=""""",0,3.86,,Unknown Binding,,,,,2025/04/15,to-read,to-read (#55),to-read,,,,0,0
95558,Solaris,Stanisław Lem,"Lem, Stanisław","Steve Cox, Joanna Kilmartin","=""""","=""""",0,3.99,Harcourt,Paperback,204,2002,1961,,2025/04/15,to-read,to-read (#54),to-read,,,,0,0
4980,Breakfast of Champions,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""0385334206""","=""9780385334204""",0,4.06,Dell Publishing,Paperback,303,1999,1973,,2025/03/16,"owned-unread, currently-reading","owned-unread (#8), currently-reading (#2)",currently-reading,,,,1,0
26218192,Floornight,nostalgebraist,"nostalgebraist, nostalgebraist",,"=""""","=""""",4,3.77,Archive of Our Own,ebook,156,2015,2015,2025/04/11,2025/03/13,,,read,"Jeez, I don't even know how to review this. It's one of the trippiest things I've ever read, and a the prose is world apart from anything you'd ever find in a more conventional book (especially anything written by a MFA!!). It's a lot like microtonal music, in that way - overlooked by the establishment, but supremely refreshing and exciting in a way I'd forgotten this medium could be.<br/><br/>This is the third Nost book I've actually read (I gave it a once-over a couple years ago, but didn't understand anything), and it cements his place in my mind as one of the most exciting, underrated authors of the past decade. It bears a lot of similarities to the later <i>Almost Nowhere</i>, including some of the imagery (among other familiar things, the idea of a branching timeline being integrated Github-style into the alpha timeline seems to have been reused in its entirety), but it's snappier, less sprawling, a lot more concise. It's no surprise the author works in cybersecurity - only a STEM brain could find this stuff exciting (I mean this as a compliment...)<br/><br/>Influences are taken from other mediums (I recognized a few scenes with Kyle that seemed to be lifted straight out of Neon Genesis Evangelion), but integrated so smoothly into prose. From the opening lines to the eye-popping final scene (which I can only compare to the last song on Unwound's ""Leaves Turn Inside You""), everything fits into a surreal yet philosophically cohesive framework. <br/><br/>It can be messy, confusing, directionless, but thrillingly so - more of a ""what's happening now??",,,1,0
20869872,Homestuck,Andrew Hussie,"Hussie, Andrew",,"=""""","=""""",4,4.56,Self Published on MSPaintAdventures,ebook,8124,2016,2016,,2023/03/10,favorites,favorites (#3),read,,,,1,0
64123,The More Than Complete Hitchhiker's Guide,Douglas Adams,"Adams, Douglas",,"=""0517693119""","=""9780517693117""",5,4.58,Wings Books,Hardcover,624,1989,1989,,2023/03/10,favorites,favorites (#2),read,,,,1,0
4981,Slaughterhouse-Five,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""""","=""""",5,4.10,Dial Press,Paperback,275,1999,1969,2024/07/14,2024/07/09,favorites,favorites (#1),read,,,,1,0
23198296,"Beowulf: A Translation and Commentary, together with Sellic Spell",J.R.R. Tolkien,"Tolkien, J.R.R.","Christopher Tolkien, Unknown","=""0007590083""","=""9780007590087""",0,3.89,HarperCollins Publishers,ebook,679,2014,2014,,2025/04/08,to-read,to-read (#53),to-read,,,,0,0
6392569,Natural Language Processing with Python: Analyzing Text with the Natural Language Toolkit,Steven    Bird,"Bird, Steven","Ewan Klein, Edward Loper","=""0596516495""","=""9780596516499""",0,4.10,O'Reilly Media,Paperback,502,2009,2009,,2025/04/07,to-read,to-read (#52),to-read,,,,0,0
119073,The Name of the Rose,Umberto Eco,"Eco, Umberto",William Weaver,"=""0156001314""","=""9780156001311""",0,4.14,Houghton Mifflin Harcourt,Paperback,552,1994,1980,,2025/04/07,to-read,to-read (#51),to-read,,,,0,0
29999,The Maltese Falcon,Dashiell Hammett,"Hammett, Dashiell",,"=""""","=""""",0,3.87,Orion,Paperback,213,2005,1930,,2025/04/07,to-read,to-read (#50),to-read,,,,0,0
11326,Love,Toni Morrison,"Morrison, Toni",,"=""1400078474""","=""9781400078479""",0,3.81,Vintage,Paperback,224,2005,2003,,2025/04/04,to-read,to-read (#49),to-read,,,,0,0
48484,"Blindsight (Firefall, #1)",Peter Watts,"Watts, Peter",,"=""0765312182""","=""9780765312181""",0,4.01,Tor Books,Hardcover,384,2006,2006,,2025/03/28,to-read,to-read (#48),to-read,,,,0,0
59807968,Leech,Hiron Ennes,"Ennes, Hiron",,"=""125081118X""","=""9781250811189""",0,3.58,Tor Books,Hardcover,323,2022,2022,,2025/03/23,to-read,to-read (#47),to-read,,,,0,0
60387307,Novelist as a Vocation,Haruki Murakami,"Murakami, Haruki","Philip Gabriel, Ted Goossen","=""0451494644""","=""9780451494641""",3,3.89,Knopf,Hardcover,224,2022,2015,2025/03/22,2025/03/15,,,read,"Why does every author's ""my thoughts on capital-W Writing"" book have to be like 75% lame autobiography by weight? Most of this is just yapping, but there are a few real mentality-changing insights - the ""different speeds of thought"" thing, the whole physical fitness/routine section, and the stuff about where characters come from. I wish he went into more specifics and examples on how he developed some of his books, both consciously and subconsciously.",,,1,0
15796700,Americanah,Chimamanda Ngozi Adichie,"Adichie, Chimamanda Ngozi",Jashar Awan,"=""""","=""""",0,4.32,Alfred A. Knopf,Hardcover,477,2013,2013,,2025/03/22,to-read,to-read (#46),to-read,,,,0,0
10803121,"The Alloy of Law (Mistborn, #4)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765330423""","=""9780765330420""",0,4.20,Tor Books,Hardcover,325,2011,2011,,2025/03/18,to-read,to-read (#45),to-read,,,,0,0
9773817,The Odyssey (The Samuel Butler Prose Translation),Homer,"Homer, Homer",,"=""""","=""""",0,3.82,Neeland Media,Nook,0,,-700,,2025/03/16,"to-read, owned-unread","to-read (#44), owned-unread (#9)",to-read,,,,0,0
9516,"Persepolis. The story of a childhood (Persepolis, #1)",Marjane Satrapi,"Satrapi, Marjane",Mattias Ripa,"=""037571457X""","=""9780375714573""",0,4.27,Pantheon,Paperback,153,2004,2003,,2025/03/16,"to-read, owned-unread","to-read (#43), owned-unread (#7)",to-read,,,,0,0
19131982,"Soul Music (Discworld #16; Death, #3)",Terry Pratchett,"Pratchett, Terry",,"=""0061805750""","=""9780061805752""",0,4.06,HarperCollins,Kindle Edition,237,2009,1994,,2025/03/16,"to-read, owned-unread","to-read (#42), owned-unread (#6)",to-read,,,,0,0
890216,Sweet Soul Music: Rhythm and Blues and the Southern Dream of Freedom,Peter Guralnick,"Guralnick, Peter",,"=""""","=""""",0,4.24,Back Bay Books,Paperback,384,2019,1986,,2025/03/16,to-read,to-read (#41),to-read,,,,0,0
424,Slouching Towards Bethlehem,Joan Didion,"Didion, Joan",,"=""""","=""""",0,4.19,Farrar Straus Giroux,Paperback,238,2008,1968,,2025/03/15,"to-read, owned-unread","to-read (#40), owned-unread (#5)",to-read,,,,0,0
29744374,Meetings with Remarkable Manuscripts,Christopher de Hamel,"Hamel, Christopher de",,"=""0241003040""","=""9780241003046""",0,4.42,PENGUIN UK,Hardcover,632,2016,2016,,2025/03/15,"to-read, owned-unread","to-read (#39), owned-unread (#4)",to-read,,,,0,0
7420389,"In the Land of Invented Languages: Adventures in Linguistic Creativity, Madness, and Genius",Arika Okrent,"Okrent, Arika",,"=""0812980891""","=""9780812980899""",0,4.10,Random House,Paperback,352,2010,2009,,2025/03/15,"to-read, owned-unread","to-read (#38), owned-unread (#3)",to-read,,,,0,0
23296,A Portrait of the Artist as a Young Man / Dubliners,James Joyce,"Joyce, James",Kevin J.H. Dettmar,"=""159308031X""","=""9781593080310""",0,3.93,Barnes & Noble Classics,Paperback,464,2004,1914,,2025/03/15,"to-read, owned-unread","to-read (#37), owned-unread (#2)",to-read,,,,0,0
10374,Hard-Boiled Wonderland and the End of the World,Haruki Murakami,"Murakami, Haruki",Alfred Birnbaum,"=""""","=""""",0,4.12,Vintage,Paperback,400,2003,1985,,2023/05/10,"to-read, owned-unread","to-read (#1), owned-unread (#1)",to-read,,,,0,0
328854,Motherless Brooklyn,Jonathan Lethem,"Lethem, Jonathan",,"=""0345803396""","=""9780345803399""",3,3.86,Vintage,Paperback,311,2000,1999,2025/03/12,2025/02/28,,,read,"Very odd book. Hedged between giving it three or four stars. Lionel is a unique narrator - you start to (or at least I started to) feel bad for the guy, while at the same time wanting nothing but to read more of his complicated misadventures. Such a weird head to be in. I lowkey felt like the descriptions of his tics were substantially influencing me to be more twitchy. My version of his head-tilt worry thing is twirling/tugging at my hair, a habit I think I got from my dad, who is now mostly bald - bright tidings ahead. EATMEBAILEY!<br/><br/>The plot is basically an excuse to bring out different weird Lionel Reactions(tm). It doesn't fully explore the full implications of what would be the plot if this were a normal detective story, but it definitely explores all the corners of his head, which is the real premise. I did think the last few dozen pages barely tied off, let alone resolved, the pressure that had been building the entire book in both realms, even if the classic detective ending was kind of nice.<br/><br/>",,,1,0
18667803,Lexicon,Max Barry,"Barry, Max",,"=""0143125427""","=""9780143125426""",3,3.91,Penguin Books,Paperback,390,2014,2013,2025/02/16,2024/12/29,,,read,"Half action movie, half linguistics textbook. <br/>A brilliantly realized creative vision - sooo brainy, yet somehow at the same time a light, fun read that doesn't make you struggle too much. <br/>The complicated non-linear plot, sheer amount of slow-drip hidden information, and thoughtfully executed literary themes (seriously, the little one-page interludes with subtle or not-so-subtle worldbuilding are genius) made me feel really smart, which is rare with this kind of book, where more often the author wants you to feel like *they're* smarter than you. At the same time, the various romance subplots and epic action scenes are quite well done for their genres and show clear respect for the greats, also rare for a nerdier book, where they're often last-minute cast-offs. It toes the line between James Patterson and Wittgenstein. All the segment power-word stuff is explained in this highly intellectual way that's interesting in its own right, and then you're still not prepared to see it all used in the field...<br/>I also liked Wil - similar to Harry from Disco Elysium and Grant from my beloved Almost Nowhere, it's fun to see all the worldbuilding through the eyes of the clueless patsy (actually, I could make *a lot* of parallels with either of those characters/settings). Emily was also super interesting - it was fun to be in her head.",,,1,0
22590,Ubik,Philip K. Dick,"Dick, Philip K.",,"=""8498000831""","=""9788498000832""",0,4.11,La factoría de ideas,Paperback,288,2004,1969,,2025/03/11,to-read,to-read (#36),to-read,,,,0,0
27071490,Homegoing,Yaa Gyasi,"Gyasi, Yaa",,"=""""","=""""",0,4.47,Alfred A. Knopf,Hardcover,305,2016,2016,,2025/03/04,to-read,to-read (#35),to-read,,,,0,0
406235,Giovanni’s Room,James Baldwin,"Baldwin, James",,"=""""","=""""",0,4.34,Laurel,Paperback,178,1988,1956,,2025/02/07,to-read,to-read (#34),to-read,,,,0,0
175675,Ragtime,E.L. Doctorow,"Doctorow, E.L.",,"=""0812978188""","=""9780812978186""",0,3.89,Random House,Paperback,320,2010,1975,,2025/02/06,to-read,to-read (#33),to-read,,,,0,0
195017142,Almost Nowhere,nostalgebraist,"nostalgebraist, nostalgebraist",,"=""""","=""""",4,4.20,Archive of Our Own,ebook,845,2023,,2025/01/27,2024/10/03,,,read,"(Note that this is a trilogy packaged together as ""one book"" - my ratings are 4.5 stars for book one, 3.5 stars for book two, and three stars for book three.)<br/><br/>A challenging, multi-faceted, poetic, and ultimately beautiful work, Almost Nowhere keeps combining opposites in gorgeous ways. It's clearly written by the same person as TNC, but takes its rambling surrealism in a totally different direction (I'd say it improves on it, at least at first). To be brief, it's an insanely high-concept setting, yet with well-written, complex, and ironically very human characters we get to know on a deeply personal, intimate level. <br/><br/>Self-important made-up terms are introduced, as in hard sci-fi (bilaterals, crashes, sign-trains; later, rebases, kosmopoesis, and the titular Almost-Nowhere), but they're always introduced as mystery words, turning characteristic, likable prose into more-than-real surrealistic poetry suffused with gooey foreshadowing, as in a memorable moment in chapter 6 when Hector praises bilaterals' ability to do something that's only really explained in a much later chapter while listening to ""Damian Marley's sign-train blaring."" <br/><br/>It's a mystery set in a world where you don't even understand the laws reality operates by, a drama intersticed with quantum physics lectures. Its prose - influenced half by technical, hard sci-fi and half by poetry (as in a particularly memorable chapter towards the end where a long bout of exposition about how multiple timelines ""really"" work turns eye-poppingly into a dark, surrealistic, desperate stream-of-consciousness screed) is flowery enough to make me even consider using words like fucking ""intersticed"" to describe it, yet that proves to be one of its greatest strengths, creating a grandeur and genuine self-importance that's very rare among modern books. <br/><br/>It really explores every crumb of meaning it can wring out of the premise. The anonymous author has said at some point that he writes outlines for chapters like a fanfic author theorizing what might happen next, and at some other point that he feels like he only ""channels"" his works rather than actually ""writing"" them. Accordingly, there's a fundamental love of the setting and characters, but also a willingness to completely change the stakes on them.<br/><br/>VAGUE SPOILERS BELOW<br/><br/>The second and third books are inferior to the first one, but the ""Act 6 Act 1""-esque beginning of the second is very clever, not to mention NOWHERE TO HIDE. The mysteries keep getting set up well. The third is just alright, and I mostly kept reading out of an obligation of seeing what happened to the characters, although the bit with the singing and the beasts was just beautiful. I thought it tangled itself up too much and self-sabotaged with all that postmodern meta-goofery when it could have been more dignified without it.<br/><br/>I've been reading the 300k-word book on and off for months, and now my daily routine has an Almost Nowhere-shaped hole in it. I feel like the Anne who was deprived of her Ratleak. Well, I guess this guy does have two more books I haven't read...",,,1,0
12749,"Swann’s Way (In Search of Lost Time, #1)",Marcel Proust,"Proust, Marcel",Lydia Davis,"=""0142437964""","=""9780142437964""",0,4.15,Penguin Classics,Paperback,468,2004,1913,,2025/01/16,to-read,to-read (#32),to-read,,,,0,0
39671,The Real Frank Zappa Book,Frank Zappa,"Zappa, Frank",Peter Occhiogrosso,"=""0330316257""","=""9780330316255""",3,4.13,Picador USA,Paperback,352,1990,1989,2025/01/15,2025/01/13,,,read,"A lot like Zappa's music, this book is cleverly composed, entertaining at the sentence level, and intellectually engaging. Also, a lot like Zappa's music, he doesn't know when to fucking shut up. <br/>I thought the '60s stuff (getting a foothold in LA, forming the Mothers, and especially writing/touring the first three albums!) was the most interesting, but there wasn't enough of it.",,,1,0
35068705,"The Poppy War (The Poppy War, #1)",R.F. Kuang,"Kuang, R.F.",,"=""0062662597""","=""9780062662590""",0,4.17,Harper Voyager,Kindle Edition,545,2018,2018,,2025/01/14,to-read,to-read (#31),to-read,,,,0,0
18713259,"Worm (Parahumans, #1)",Wildbow,"Wildbow, Wildbow",,"=""""","=""""",5,4.60,https://parahumans.wordpress.com,ebook,6680,2013,2013,,2023/03/10,,,read,,,,1,0
77203,The Kite Runner,Khaled Hosseini,"Hosseini, Khaled",,"=""159463193X""","=""9781594631931""",4,4.35,Riverhead Books,Paperback,371,2004,2003,,2023/03/10,,,read,,,,1,0
26846443,The Wind-Up Bird Chronicle,Haruki Murakami,"Murakami, Haruki",Jay Rubin,"=""""","=""""",4,4.14,Vintage Books,Paperback,607,2015,1994,2023/08/19,2023/08/07,,,read,,,,1,0
24453082,Big Magic: Creative Living Beyond Fear,Elizabeth Gilbert,"Gilbert, Elizabeth",,"=""1594634718""","=""9781594634710""",3,3.96,Riverhead Books,Hardcover,276,2015,2015,2023/01/16,2023/03/10,,,read,,,,1,0
